t,vout,dctrl
0.000426,9.691813,5.979999
0.000428,9.675689,5.979999
0.000430,9.660527,5.979999
0.000432,9.643538,5.979999
0.000434,9.624271,5.979999
0.000436,9.605040,5.979999
0.000438,9.585846,5.979999
0.000440,9.566692,5.975999
0.000442,9.548113,5.975999
0.000444,9.530550,5.975999
0.000446,9.514009,5.975999
0.000448,9.498494,5.975999
0.000450,9.484010,5.975999
0.000452,9.467768,5.975999
0.000454,9.448903,5.975999
0.000456,9.430022,5.975999
0.000458,9.411180,5.975999
0.000460,9.392374,5.971999
0.000462,9.374181,5.971999
0.000464,9.357074,5.971999
0.000466,9.341057,5.971999
0.000468,9.326134,5.971999
0.000470,9.312310,5.971999
0.000472,9.296796,5.971999
0.000474,9.278367,5.971999
0.000476,9.259828,5.971999
0.000478,9.241324,5.971999
0.000480,9.222858,5.967999
0.000482,9.205043,5.967999
0.000484,9.188377,5.967999
0.000486,9.172869,5.967999
0.000488,9.158521,5.967999
0.000490,9.145338,5.967999
0.000492,9.130532,5.967999
0.000494,9.112574,5.967999
0.000496,9.094364,5.967999
0.000498,9.076192,5.967999
0.000500,9.058056,5.963998
0.000502,9.040604,5.963998
0.000504,9.024369,5.963998
0.000506,9.009357,5.963998
0.000508,8.995569,5.963998
0.000510,8.983009,5.963998
0.000512,8.968888,5.963998
0.000514,8.951431,5.963998
0.000516,8.933544,5.963998
0.000518,8.915692,5.963998
0.000520,8.897877,5.959998
0.000522,8.880780,5.959998
0.000524,8.864964,5.959998
0.000526,8.850433,5.959998
0.000528,8.837190,5.959998
0.000530,8.825236,5.959998
0.000532,8.811783,5.959998
0.000534,8.794858,5.959998
0.000536,8.777285,5.959998
0.000538,8.759746,5.959998
0.000540,8.742242,5.959998
0.000542,8.725362,5.955998
0.000544,8.709823,5.955998
0.000546,8.695629,5.955998
0.000548,8.682785,5.955998
0.000550,8.671291,5.955998
0.000552,8.658357,5.955998
0.000554,8.641908,5.955998
0.000556,8.624640,5.955998
0.000558,8.607406,5.955998
0.000560,8.590206,5.951998
0.000562,8.573792,5.951998
0.000564,8.558779,5.951998
0.000566,8.545173,5.951998
0.000568,8.532973,5.951998
0.000570,8.522183,5.951998
0.000572,8.510013,5.951998
0.000574,8.494245,5.951998
0.000576,8.477271,5.951998
0.000578,8.460332,5.951998
0.000580,8.443427,5.947998
0.000582,8.427339,5.947998
0.000584,8.412709,5.947998
0.000586,8.399543,5.947998
0.000588,8.387842,5.947998
0.000590,8.377608,5.947998
0.000592,8.366051,5.947998
0.000594,8.350899,5.947998
0.000596,8.334211,5.947998
0.000598,8.317558,5.947998
0.000600,8.300938,5.943997
0.000602,8.285166,5.943997
0.000604,8.270909,5.943997
0.000606,8.258171,5.943997
0.000608,8.246956,5.943997
0.000610,8.237260,5.943997
0.000612,8.226295,5.943997
0.000614,8.211787,5.943997
0.000616,8.195379,5.943997
0.000618,8.179003,5.943997
0.000620,8.162659,5.939997
0.000622,8.147192,5.939997
0.000624,8.133297,5.939997
0.000626,8.120975,5.939997
0.000628,8.110228,5.939997
0.000630,8.101056,5.939997
